"1500from5 - RawData"
"Wavelength nm.","T%"
1102.00,0.0556
1104.00,0.0558
1106.00,0.0561
1108.00,0.0557
1110.00,0.0559
1112.00,0.0557
1114.00,0.0557
1116.00,0.0556
1118.00,0.0558
1120.00,0.0556
1122.00,0.0554
1124.00,0.0553
1126.00,0.0551
1128.00,0.0548
1130.00,0.0542
1132.00,0.0540
1134.00,0.0537
1136.00,0.0536
1138.00,0.0536
1140.00,0.0536
1142.00,0.0536
1144.00,0.0535
1146.00,0.0538
1148.00,0.0536
1150.00,0.0534
1152.00,0.0529
1154.00,0.0525
1156.00,0.0522
1158.00,0.0520
1160.00,0.0516
1162.00,0.0511
1164.00,0.0509
1166.00,0.0511
1168.00,0.0513
1170.00,0.0512
1172.00,0.0516
1174.00,0.0520
1176.00,0.0528
1178.00,0.0538
1180.00,0.0555
1182.00,0.0578
1184.00,0.0602
1186.00,0.0623
1188.00,0.0637
1190.00,0.0640
1192.00,0.0633
1194.00,0.0620
1196.00,0.0605
1198.00,0.0597
1200.00,0.0593
1202.00,0.0590
1204.00,0.0588
1206.00,0.0587
1208.00,0.0587
1210.00,0.0590
1212.00,0.0591
1214.00,0.0595
1216.00,0.0597
1218.00,0.0602
1220.00,0.0603
1222.00,0.0606
1224.00,0.0607
1226.00,0.0609
1228.00,0.0610
1230.00,0.0614
1232.00,0.0617
1234.00,0.0620
1236.00,0.0623
1238.00,0.0625
1240.00,0.0629
1242.00,0.0630
1244.00,0.0631
1246.00,0.0633
1248.00,0.0634
1250.00,0.0641
1252.00,0.0642
1254.00,0.0644
1256.00,0.0648
1258.00,0.0651
1260.00,0.0654
1262.00,0.0655
1264.00,0.0658
1266.00,0.0662
1268.00,0.0665
1270.00,0.0667
1272.00,0.0669
1274.00,0.0668
1276.00,0.0672
1278.00,0.0674
1280.00,0.0680
1282.00,0.0682
1284.00,0.0687
1286.00,0.0690
1288.00,0.0694
1290.00,0.0697
1292.00,0.0700
1294.00,0.0702
1296.00,0.0704
1298.00,0.0706
1300.00,0.0712
1302.00,0.0713
1304.00,0.0719
1306.00,0.0720
1308.00,0.0725
1310.00,0.0728
1312.00,0.0735
1314.00,0.0742
1316.00,0.0748
1318.00,0.0753
1320.00,0.0761
1322.00,0.0771
1324.00,0.0781
1326.00,0.0793
1328.00,0.0807
1330.00,0.0829
1332.00,0.0852
1334.00,0.0878
1336.00,0.0905
1338.00,0.0936
1340.00,0.0971
1342.00,0.1004
1344.00,0.1029
1346.00,0.1045
1348.00,0.1050
1350.00,0.1044
1352.00,0.1022
1354.00,0.0991
1356.00,0.0955
1358.00,0.0920
1360.00,0.0885
1362.00,0.0853
1364.00,0.0825
1366.00,0.0800
1368.00,0.0785
1370.00,0.0778
1372.00,0.0774
1374.00,0.0769
1376.00,0.0763
1378.00,0.0760
1380.00,0.0757
1382.00,0.0757
1384.00,0.0755
1386.00,0.0757
1388.00,0.0760
1390.00,0.0766
1392.00,0.0773
1394.00,0.0778
1396.00,0.0778
1398.00,0.0780
1400.00,0.0781
1402.00,0.0783
1404.00,0.0783
1406.00,0.0789
1408.00,0.0792
1410.00,0.0796
1412.00,0.0799
1414.00,0.0805
1416.00,0.0811
1418.00,0.0817
1420.00,0.0828
1422.00,0.0834
1424.00,0.0842
1426.00,0.0848
1428.00,0.0859
1430.00,0.0864
1432.00,0.0869
1434.00,0.0871
1436.00,0.0878
1438.00,0.0877
1440.00,0.0883
1442.00,0.0885
1444.00,0.0893
1446.00,0.0899
1448.00,0.0903
1450.00,0.0907
1452.00,0.0913
1454.00,0.0925
1456.00,0.0930
1458.00,0.0937
1460.00,0.0941
1462.00,0.0951
1464.00,0.0959
1466.00,0.0965
1468.00,0.0974
1470.00,0.0983
1472.00,0.0993
1474.00,0.1001
1476.00,0.1011
1478.00,0.1017
1480.00,0.1024
1482.00,0.1033
1484.00,0.1044
1486.00,0.1052
1488.00,0.1057
1490.00,0.1068
1492.00,0.1076
1494.00,0.1087
1496.00,0.1095
1498.00,0.1108
1500.00,0.1113
1502.00,0.1119
1504.00,0.1123
1506.00,0.1130
1508.00,0.1141
1510.00,0.1148
1512.00,0.1157
1514.00,0.1164
1516.00,0.1170
1518.00,0.1179
1520.00,0.1184
1522.00,0.1193
1524.00,0.1200
1526.00,0.1207
1528.00,0.1215
1530.00,0.1224
1532.00,0.1232
1534.00,0.1239
1536.00,0.1244
1538.00,0.1254
1540.00,0.1263
1542.00,0.1271
1544.00,0.1280
1546.00,0.1288
1548.00,0.1297
1550.00,0.1307
1552.00,0.1319
1554.00,0.1330
1556.00,0.1339
1558.00,0.1346
1560.00,0.1354
1562.00,0.1362
1564.00,0.1373
1566.00,0.1380
1568.00,0.1393
1570.00,0.1399
1572.00,0.1407
1574.00,0.1407
1576.00,0.1416
1578.00,0.1431
1580.00,0.1446
1582.00,0.1455
1584.00,0.1465
1586.00,0.1470
1588.00,0.1475
1590.00,0.1475
1592.00,0.1479
1594.00,0.1482
1596.00,0.1483
1598.00,0.1483
1600.00,0.1480
1602.00,0.1474
1604.00,0.1470
1606.00,0.1468
1608.00,0.1472
1610.00,0.1476
1612.00,0.1470
1614.00,0.1469
1616.00,0.1472
1618.00,0.1483
1620.00,0.1490
1622.00,0.1500
1624.00,0.1515
1626.00,0.1532
1628.00,0.1536
1630.00,0.1537
1632.00,0.1541
1634.00,0.1551
1636.00,0.1555
1638.00,0.1554
1640.00,0.1552
1642.00,0.1545
1644.00,0.1541
1646.00,0.1532
1648.00,0.1523
1650.00,-1.9512
1652.00,-4.1799
1654.00,-6.2355
1656.00,-6.1774
1658.00,-6.3939
1660.00,-6.5502
1662.00,-6.5276
1664.00,-6.3114
1666.00,-6.1861
1668.00,-6.1735
1670.00,-6.3860
1672.00,-6.4593
1674.00,-6.8728
1676.00,-6.4023
1678.00,-6.6070
1680.00,-6.6298
1682.00,-7.0059
1684.00,-6.6268
1686.00,-6.4486
1688.00,-6.1898
1690.00,-6.6480
1692.00,-6.6794
1694.00,-6.8741
1696.00,-6.6019
1698.00,-6.3256
1700.00,-6.5027
1702.00,-6.7122
1704.00,-6.6411
1706.00,-6.2115
1708.00,-6.1838
1710.00,-6.8054
1712.00,-6.8015
1714.00,-6.8396
1716.00,-6.4930
1718.00,-6.8405
1720.00,-6.7036
1722.00,-6.6733
1724.00,-6.3779
1726.00,-6.3060
1728.00,-6.0243
1730.00,-6.4547
1732.00,-6.2011
1734.00,-6.5533
1736.00,-6.4371
1738.00,-6.7322
1740.00,-6.7616
1742.00,-7.0735
1744.00,-6.7237
1746.00,-6.4402
1748.00,-6.1881
1750.00,-6.6579
1752.00,-6.5888
1754.00,-6.4409
1756.00,-5.8978
1758.00,-6.3142
1760.00,-6.0850
1762.00,-6.3422
1764.00,-6.1073
1766.00,-6.3388
1768.00,-6.3056
1770.00,-6.5183
1772.00,-6.5298
1774.00,-6.8032
1776.00,-6.4930
1778.00,-6.2895
1780.00,-5.8804
1782.00,-6.2461
1784.00,-6.3340
1786.00,-6.7028
1788.00,-6.6516
1790.00,-6.9575
1792.00,-6.7146
