"840_1 - RawData"
"Wavelength nm.","T%"
1378.00,13.3253
1380.00,13.2881
1382.00,13.3362
1384.00,13.4698
1386.00,13.6909
1388.00,13.9889
1390.00,14.3734
1392.00,14.8534
1394.00,15.4514
1396.00,16.1664
1398.00,16.9971
1400.00,17.9564
1402.00,19.0653
1404.00,20.3363
1406.00,21.7743
1408.00,23.3495
1410.00,25.0512
1412.00,26.8607
1414.00,28.7494
1416.00,30.6698
1418.00,32.5965
1420.00,34.4829
1422.00,36.2779
1424.00,37.9279
1426.00,39.3796
1428.00,40.5905
1430.00,41.4945
1432.00,42.1131
1434.00,42.4628
1436.00,42.5778
1438.00,42.4827
1440.00,42.2197
1442.00,41.8457
1444.00,41.3974
1446.00,40.9345
1448.00,40.4714
1450.00,40.0498
1452.00,39.6576
1454.00,39.3167
1456.00,39.0247
1458.00,38.7976
1460.00,38.6241
1462.00,38.4923
1464.00,38.3745
1466.00,38.2464
1468.00,38.0977
1470.00,37.9029
1472.00,37.6481
1474.00,37.3001
1476.00,36.8355
1478.00,36.2345
1480.00,35.4878
1482.00,34.6085
1484.00,33.6113
1486.00,32.5095
1488.00,31.2858
1490.00,29.9537
1492.00,28.5319
1494.00,27.0912
1496.00,25.6661
1498.00,24.2912
1500.00,22.9659
1502.00,21.6942
1504.00,20.4599
1506.00,19.2805
1508.00,18.1752
1510.00,17.1720
1512.00,16.2567
1514.00,15.4253
1516.00,14.6532
1518.00,13.9527
1520.00,13.3220
1522.00,12.7665
1524.00,12.2795
1526.00,11.8395
1528.00,11.4494
1530.00,11.1028
1532.00,10.8054
1534.00,10.5535
1536.00,10.3467
1538.00,10.1800
1540.00,10.0477
1542.00,9.9455
1544.00,9.8727
1546.00,9.8309
1548.00,9.8220
1550.00,9.8456
1552.00,9.9017
1554.00,9.9898
1556.00,10.1120
1558.00,10.2691
1560.00,10.4624
1562.00,10.6912
1564.00,10.9545
1566.00,11.2553
1568.00,11.5964
1570.00,11.9810
1572.00,12.4076
1574.00,12.8867
1576.00,13.4197
1578.00,14.0086
1580.00,14.6396
1582.00,15.3333
1584.00,16.0954
1586.00,16.9455
1588.00,17.8652
1590.00,18.8679
1592.00,19.9406
1594.00,21.0892
1596.00,22.2837
1598.00,23.5397
1600.00,24.8199
1602.00,26.1274
1604.00,27.4253
1606.00,28.7326
1608.00,30.0213
1610.00,31.2844
1612.00,32.4744
1614.00,33.5623
1616.00,34.5124
1618.00,35.3017
1620.00,35.9326
1622.00,36.4018
1624.00,36.7001
1626.00,36.8319
1628.00,36.8029
1630.00,36.6526
1632.00,36.3910
1634.00,36.0360
1636.00,35.6009
1638.00,35.1113
1640.00,34.5880
1642.00,34.0546
1644.00,33.5243
1646.00,33.0118
1648.00,32.5124
1650.00,31.2448
1652.00,29.6201
1654.00,28.2017
1656.00,27.6646
1658.00,27.4416
1660.00,27.1542
1662.00,26.5806
1664.00,26.3760
1666.00,26.1873
1668.00,26.1706
1670.00,26.0913
1672.00,25.9610
1674.00,26.0612
1676.00,26.2601
1678.00,26.3827
1680.00,26.4037
1682.00,26.4170
1684.00,27.0065
1686.00,27.2154
1688.00,27.5356
1690.00,27.1825
1692.00,27.5505
1694.00,27.6635
1696.00,28.4869
1698.00,28.8054
1700.00,29.0108
1702.00,28.7248
1704.00,28.6321
1706.00,28.4563
1708.00,28.3942
1710.00,28.2132
1712.00,28.2627
1714.00,28.3367
1716.00,28.4260
1718.00,28.6825
1720.00,28.5502
1722.00,28.8506
1724.00,28.7501
1726.00,28.7914
1728.00,28.3863
1730.00,27.6763
1732.00,27.0909
1734.00,26.6453
1736.00,26.9142
1738.00,26.6037
1740.00,26.5231
1742.00,26.2914
1744.00,26.3305
1746.00,25.9991
1748.00,25.6565
1750.00,25.7589
1752.00,25.5690
1754.00,25.0489
1756.00,24.2740
1758.00,24.1504
1760.00,24.3460
1762.00,24.2581
1764.00,24.0856
1766.00,23.6592
1768.00,23.6346
1770.00,24.0486
1772.00,24.1284
1774.00,24.3705
1776.00,23.7981
1778.00,23.5942
1780.00,24.0879
1782.00,24.9792
1784.00,25.9721
1786.00,26.3754
1788.00,26.7470
1790.00,27.4664
1792.00,27.9130
1794.00,27.9715
1796.00,28.5054
1798.00,29.5415
1800.00,30.4286
1802.00,30.7969
1804.00,30.8774
1806.00,31.8778
1808.00,32.3242
1810.00,33.2825
1812.00,33.9550
1814.00,34.8058
1816.00,35.2009
1818.00,36.0271
1820.00,36.9071
1822.00,37.5614
1824.00,38.1239
1826.00,38.8162
1828.00,39.6178
1830.00,40.1163
1832.00,40.1654
1834.00,39.5233
1836.00,38.7011
1838.00,38.5582
1840.00,38.8090
1842.00,38.9628
1844.00,38.3006
1846.00,37.8020
1848.00,37.6127
1850.00,36.9433
1852.00,36.6318
1854.00,35.5280
1856.00,34.8279
1858.00,33.9341
1860.00,33.4462
1862.00,32.9500
1864.00,31.7540
1866.00,30.6873
1868.00,29.8668
1870.00,29.1486
1872.00,28.5974
1874.00,27.7316
1876.00,27.1648
1878.00,26.4676
1880.00,25.3201
1882.00,24.5563
1884.00,23.3438
1886.00,23.0983
1888.00,22.2689
1890.00,21.4182
1892.00,20.8417
1894.00,20.7789
1896.00,20.6619
1898.00,20.1947
1900.00,19.4647
1902.00,18.9443
1904.00,18.4805
1906.00,18.2960
1908.00,18.7944
1910.00,19.6770
1912.00,19.4862
1914.00,19.0141
1916.00,18.5002
1918.00,18.1813
1920.00,17.8982
1922.00,17.5082
1924.00,18.3392
1926.00,18.8565
1928.00,19.0907
1930.00,19.0314
1932.00,19.1525
1934.00,18.7138
1936.00,18.5063
1938.00,18.8864
1940.00,19.5136
1942.00,19.8715
1944.00,19.5942
1946.00,19.7944
1948.00,20.1690
1950.00,20.6275
1952.00,21.2444
1954.00,21.1709
1956.00,21.7395
1958.00,22.1933
1960.00,22.7893
1962.00,22.8077
1964.00,22.7527
1966.00,23.1782
1968.00,23.7844
1970.00,24.5138
1972.00,25.2999
1974.00,26.2432
1976.00,27.2100
1978.00,27.1981
1980.00,27.2027
1982.00,27.3078
1984.00,28.7088
1986.00,29.6087
1988.00,30.6343
1990.00,31.0819
1992.00,32.2450
1994.00,32.7301
1996.00,33.4705
1998.00,33.5797
2000.00,33.3569
2002.00,34.4100
2004.00,35.3673
2006.00,37.4019
2008.00,37.7316
2010.00,37.3926
2012.00,37.0743
2014.00,37.2457
2016.00,38.3128
2018.00,39.8331
2020.00,40.8280
2022.00,41.2989
2024.00,41.5911
2026.00,41.5091
2028.00,42.5858
2030.00,42.9677
2032.00,43.4667
2034.00,43.2619
2036.00,43.0806
2038.00,43.5399
2040.00,44.6272
2042.00,45.6479
2044.00,45.6081
2046.00,45.1090
2048.00,45.3467
2050.00,46.1584
2052.00,46.4814
2054.00,45.5821
2056.00,45.1279
2058.00,44.3963
2060.00,45.0577
2062.00,44.7188
2064.00,44.8926
2066.00,44.5707
2068.00,44.2723
2070.00,43.7662
2072.00,43.3388
2074.00,43.7363
2076.00,44.8337
2078.00,44.6347
2080.00,43.9553
2082.00,42.9248
2084.00,43.4208
2086.00,44.7134
2088.00,44.3950
2090.00,43.9231
2092.00,42.9019
2094.00,44.0762
2096.00,44.6553
2098.00,45.1569
2100.00,44.9926
2102.00,44.3029
2104.00,44.7896
2106.00,44.2413
2108.00,44.9933
2110.00,44.1516
2112.00,45.0010
2114.00,44.1322
2116.00,44.9641
2118.00,44.4321
2120.00,44.9474
2122.00,44.4557
2124.00,44.9333
2126.00,44.9174
2128.00,44.9083
2130.00,44.2258
2132.00,44.4904
2134.00,45.4320
2136.00,45.8570
2138.00,46.0668
2140.00,45.8142
2142.00,45.5594
2144.00,45.2516
2146.00,44.7010
2148.00,44.6513
2150.00,44.7627
2152.00,43.6048
2154.00,43.4002
2156.00,43.5420
2158.00,43.7163
2160.00,43.8087
2162.00,43.5045
2164.00,43.9610
2166.00,44.0551
2168.00,43.4316
2170.00,42.9032
2172.00,42.7889
2174.00,43.2524
2176.00,43.4430
2178.00,42.0773
2180.00,39.5959
2182.00,38.8914
2184.00,38.4221
2186.00,39.4821
2188.00,38.8124
2190.00,39.0755
2192.00,39.4183
2194.00,39.1007
2196.00,38.7998
2198.00,37.1683
2200.00,37.2585
2202.00,36.9039
2204.00,37.0269
2206.00,36.0048
2208.00,36.0874
2210.00,36.6024
2212.00,36.9206
2214.00,36.0934
2216.00,35.4754
2218.00,34.8070
2220.00,34.6352
2222.00,34.4464
2224.00,35.0999
2226.00,34.3815
2228.00,33.8022
2230.00,32.3685
2232.00,32.3686
2234.00,31.9634
2236.00,31.3085
2238.00,31.5034
2240.00,30.5918
2242.00,31.2101
2244.00,30.3755
2246.00,30.1664
2248.00,30.3519
2250.00,29.7686
2252.00,29.1700
2254.00,28.1366
2256.00,29.0667
2258.00,29.5009
2260.00,28.7264
2262.00,27.3227
2264.00,27.4952
2266.00,27.3711
2268.00,28.4119
2270.00,28.6766
2272.00,30.7534
2274.00,31.0796
2276.00,31.0339
2278.00,30.4539
2280.00,30.2424
2282.00,31.0538
2284.00,30.5596
2286.00,29.8357
2288.00,29.1185
2290.00,29.6177
2292.00,30.6387
2294.00,30.5435
2296.00,30.1979
2298.00,29.3553
2300.00,29.6413
2302.00,30.0272
2304.00,31.2446
2306.00,32.0596
2308.00,32.1775
2310.00,32.3774
2312.00,31.9797
2314.00,32.7406
2316.00,32.3771
2318.00,32.8155
2320.00,32.9756
2322.00,34.2698
2324.00,33.9646
2326.00,35.0662
2328.00,34.6962
2330.00,35.4170
2332.00,35.1462
2334.00,35.5924
2336.00,36.0077
2338.00,36.5378
2340.00,36.0592
2342.00,34.8519
2344.00,34.3383
2346.00,34.5628
2348.00,36.6004
2350.00,37.2208
2352.00,38.5152
2354.00,37.4426
