"from6 - RawData"
"Wavelength nm.","T%"
2398.00,22.9160
2400.00,23.0203
2402.00,23.1566
2404.00,22.1054
2406.00,21.3774
2408.00,20.2080
2410.00,20.6783
2412.00,21.8391
2414.00,23.2317
2416.00,23.5348
2418.00,22.3642
2420.00,21.2031
2422.00,20.3045
2424.00,20.2560
2426.00,20.4816
2428.00,19.8131
2430.00,19.6462
2432.00,18.8612
2434.00,18.9649
2436.00,19.3730
2438.00,19.7765
2440.00,20.3217
2442.00,20.4407
2444.00,20.3682
2446.00,18.3054
2448.00,17.9224
2450.00,18.8642
2452.00,21.4618
2454.00,20.6937
2456.00,20.3079
2458.00,20.5884
2460.00,22.5622
2462.00,23.5715
2464.00,24.0918
2466.00,22.8576
2468.00,21.3119
2470.00,20.8087
2472.00,22.4214
2474.00,23.5874
2476.00,22.9014
2478.00,22.1188
2480.00,21.9828
2482.00,21.0194
2484.00,20.0636
2486.00,21.5534
2488.00,21.9452
2490.00,25.2089
2492.00,24.1803
2494.00,27.9504
2496.00,25.9416
2498.00,26.7190
2500.00,25.0985
2502.00,26.2385
2504.00,26.1383
2506.00,26.7453
2508.00,27.5538
2510.00,28.8260
2512.00,29.5146
2514.00,29.6783
2516.00,30.5823
2518.00,30.5814
2520.00,32.4307
2522.00,31.8011
2524.00,31.8480
2526.00,31.9750
2528.00,32.6834
2530.00,33.9927
2532.00,34.1532
2534.00,33.7603
2536.00,34.3001
2538.00,33.6416
2540.00,33.7878
2542.00,33.7950
2544.00,35.0224
2546.00,35.3559
2548.00,35.3623
2550.00,34.8143
2552.00,35.2456
2554.00,35.3055
2556.00,36.5695
2558.00,36.9944
2560.00,36.3529
2562.00,36.2561
2564.00,36.6610
2566.00,37.9101
2568.00,38.1119
2570.00,37.5662
2572.00,36.5677
2574.00,36.0732
2576.00,35.9377
2578.00,36.7414
2580.00,36.6915
2582.00,36.2430
2584.00,35.3074
2586.00,34.6111
2588.00,35.1507
2590.00,37.9871
2592.00,38.7977
2594.00,40.3427
2596.00,39.3303
2598.00,36.8934
2600.00,36.1089
2602.00,34.5021
2604.00,37.1984
2606.00,35.5900
2608.00,35.0322
2610.00,34.6066
2612.00,36.4335
2614.00,35.5375
2616.00,35.9996
2618.00,35.0046
2620.00,36.4284
2622.00,34.1698
2624.00,33.3356
2626.00,32.2930
2628.00,32.4914
2630.00,31.9369
2632.00,33.8568
2634.00,34.1265
2636.00,34.4125
2638.00,33.3780
2640.00,33.5163
2642.00,33.6482
2644.00,32.7711
2646.00,31.6029
2648.00,31.0509
2650.00,30.6859
2652.00,31.6755
2654.00,31.7473
2656.00,31.1318
2658.00,30.6289
2660.00,31.8817
2662.00,33.1048
2664.00,30.4404
2666.00,28.2112
2668.00,27.6957
2670.00,28.9525
2672.00,27.4144
2674.00,27.2173
2676.00,27.5704
2678.00,26.0168
2680.00,23.7258
2682.00,21.5525
2684.00,23.8831
2686.00,24.2730
2688.00,25.8252
2690.00,24.3994
2692.00,25.0779
2694.00,20.7245
2696.00,19.0008
2698.00,14.4576
2700.00,16.7367
2702.00,16.8985
2704.00,17.4612
2706.00,17.7423
2708.00,16.7763
2710.00,15.6757
2712.00,15.1017
2714.00,13.6105
2716.00,13.1016
2718.00,11.6456
2720.00,10.7311
2722.00,9.9134
2724.00,9.4734
2726.00,8.4320
2728.00,8.5850
2730.00,8.6937
2732.00,8.0938
2734.00,8.2546
2736.00,8.0346
2738.00,7.1728
2740.00,6.8589
2742.00,6.5674
2744.00,4.9520
2746.00,4.7500
2748.00,4.9282
2750.00,4.4277
2752.00,4.1577
2754.00,4.5108
2756.00,3.7826
2758.00,3.2077
2760.00,2.9566
2762.00,2.6957
2764.00,3.0609
2766.00,3.6971
2768.00,3.5446
2770.00,3.6048
2772.00,3.6170
2774.00,2.7600
2776.00,2.6328
2778.00,2.5433
2780.00,2.2978
2782.00,2.4373
2784.00,2.7630
2786.00,2.9109
2788.00,3.1051
2790.00,3.0305
2792.00,2.6831
2794.00,1.7069
2796.00,1.7120
2798.00,2.1860
2800.00,1.8452
2802.00,1.9877
2804.00,2.8920
2806.00,2.1705
2808.00,1.7612
2810.00,1.9308
2812.00,2.1827
2814.00,2.5527
2816.00,3.2901
2818.00,3.2090
2820.00,3.5196
2822.00,3.6150
2824.00,3.3722
2826.00,2.8750
2828.00,3.0895
2830.00,2.6813
2832.00,3.0945
2834.00,2.5844
2836.00,3.2288
2838.00,3.4311
2840.00,4.3031
2842.00,4.4803
2844.00,5.0340
2846.00,5.1660
2848.00,5.0886
2850.00,5.3537
2852.00,5.1235
2854.00,5.2927
2856.00,4.7292
2858.00,4.8638
2860.00,4.2336
2862.00,4.8607
2864.00,5.3914
2866.00,6.0882
2868.00,6.2088
2870.00,6.6807
2872.00,6.6922
2874.00,6.2298
2876.00,6.3332
2878.00,5.4919
2880.00,5.3414
2882.00,5.2804
2884.00,6.0873
2886.00,5.6564
2888.00,7.1091
2890.00,7.2805
2892.00,7.5440
2894.00,7.5395
2896.00,8.7309
2898.00,8.4257
2900.00,7.8940
2902.00,7.5533
2904.00,8.3429
2906.00,7.9308
2908.00,7.9022
2910.00,9.3796
2912.00,8.6632
2914.00,8.1518
2916.00,7.1527
2918.00,7.3124
2920.00,6.7872
2922.00,7.3677
2924.00,6.8750
2926.00,6.9707
2928.00,7.8577
2930.00,7.4734
2932.00,8.2330
2934.00,8.6566
2936.00,10.7544
2938.00,9.6667
2940.00,10.1093
2942.00,9.7455
2944.00,8.6226
2946.00,8.3690
2948.00,9.2057
2950.00,7.9996
2952.00,8.4792
2954.00,9.7621
2956.00,8.2041
2958.00,8.4762
2960.00,9.5435
2962.00,9.6515
2964.00,8.7562
2966.00,9.4818
2968.00,8.8473
2970.00,9.8831
2972.00,8.9024
2974.00,9.1101
2976.00,9.2885
2978.00,9.5396
2980.00,8.3396
2982.00,8.5491
2984.00,7.4381
2986.00,7.1313
2988.00,6.1783
2990.00,6.5519
2992.00,6.0549
2994.00,7.5988
2996.00,7.4364
2998.00,8.2575
3000.00,8.6937
